1999,1490,1000
1998,1493,1000
1996,1495,1000
1995,1498,1000
1993,1500,1000
1992,1503,1000
1990,1505,1000
1989,1508,1000
1987,1510,1000
1986,1513,1000
1984,1515,1000
1983,1518,1000
1982,1521,1000
1980,1523,1000
1979,1526,1000
1977,1528,1000
1976,1531,1000
1974,1533,1000
1973,1536,1000
1971,1538,1000
1970,1541,1000
1969,1544,1000
1967,1546,1000
1966,1549,1000
1964,1551,1000
1963,1554,1000
1961,1556,1000
1960,1559,1000
1958,1562,1000
1957,1564,1000
1956,1567,1000
1959,1569,1000
1963,1572,1000
1966,1575,1000
1970,1577,1000
1973,1580,1000
1977,1583,1000
1981,1585,1000
1984,1588,1000
1988,1590,1000
1992,1593,1000
1995,1596,1000
1999,1598,1000
1997,1601,1000
1993,1604,1000
1990,1606,1000
1987,1609,1000
1984,1611,1000
1981,1614,1000
1978,1617,1000
1975,1619,1000
1972,1619,1000
1968,1618,1000
1965,1618,1000
1962,1617,1000
1959,1617,1000
1956,1616,1000
1953,1616,1000
1949,1615,1000
1946,1615,1000
1943,1614,1000
1940,1614,1000
1937,1613,1000
1934,1613,1000
1930,1612,1000
1927,1612,1000
1924,1612,1000
1921,1611,1000
1918,1611,1000
1914,1610,1000
1911,1610,1000
1908,1609,1000
1905,1609,1000
1902,1608,1000
1898,1608,1000
1895,1608,1000
1892,1607,1000
1889,1607,1000
1885,1606,1000
1882,1606,1000
1879,1605,1000
1875,1605,1000
1872,1605,1000
1869,1604,1000
1865,1604,1000
1864,1603,1000
1863,1603,1000
1862,1603,1000
1861,1602,1000
1860,1602,1000
1858,1602,1000
1857,1601,1000
1856,1601,1000
1855,1601,1000
1854,1600,1000
1852,1600,1000
1851,1599,1000
1850,1599,1000
1848,1599,1000
1847,1598,1000
1846,1598,1000
1845,1597,1000
1843,1595,1000
1842,1593,1000
1840,1592,1000
1839,1590,1000
1838,1589,1000
1836,1587,1000
1835,1585,1000
1834,1584,1000
1832,1582,1000
1831,1581,1000
1829,1579,1000
1828,1577,1000
1826,1576,1000
1825,1574,1000
1823,1573,1000
1822,1571,1000
1820,1570,1000
1819,1568,1000
1817,1566,1000
1816,1565,1000
1814,1563,1000
1813,1562,1000
1811,1560,1000
1809,1558,1000
1808,1557,1000
1806,1555,1000
1805,1554,1000
1803,1552,1000
1801,1550,1000
1800,1549,1000
1798,1547,1000
1796,1546,1000
1795,1544,1000
1793,1543,1000
1792,1541,1000
1791,1539,1000
1790,1538,1000
1789,1536,1000
1787,1535,1000
1786,1533,1000
1785,1531,1000
1784,1530,1000
1783,1528,1000
1781,1527,1000
1780,1525,1000
1779,1523,1000
1778,1522,1000
1776,1520,1000
1775,1519,1000
1774,1518,1000
1773,1517,1000
1771,1516,1000
1770,1515,1000
1769,1514,1000
1768,1513,1000
1766,1512,1000
1765,1511,1000
1764,1510,1000
1763,1509,1000
1761,1508,1000
1760,1507,1000
1759,1506,1000
1757,1505,1000
1756,1504,1000
1755,1503,1000
1754,1502,1000
1752,1501,1000
1751,1500,1000
1750,1499,1000
1748,1498,1000
1747,1497,1000
1746,1496,1000
1744,1495,1000
1743,1494,1000
1742,1493,1000
1740,1492,1000
1739,1492,1000
1738,1491,1000
1736,1490,1000
1735,1489,1000
1734,1488,1000
1732,1487,1000
1731,1486,1000
1735,1485,1000
1738,1484,1000
1742,1483,1000
1745,1482,1000
1749,1481,1000
1752,1481,1000
1756,1480,1000
1759,1479,1000
1763,1478,1000
1766,1477,1000
1770,1476,1000
1773,1475,1000
1776,1474,1000
1780,1474,1000
1783,1473,1000
1786,1472,1000
1789,1472,1000
1793,1473,1000
1796,1473,1000
1799,1473,1000
1802,1474,1000
1806,1474,1000
1809,1475,1000
1812,1475,1000
1815,1476,1000
1818,1476,1000
1821,1476,1000
1824,1477,1000
1827,1477,1000
1831,1478,1000
1834,1478,1000
1837,1479,1000
1840,1479,1000
1843,1479,1000
1846,1480,1000
1849,1480,1000
1852,1481,1000
1854,1481,1000
1857,1482,1000
1860,1482,1000
1863,1482,1000
1866,1483,1000
1869,1483,1000
1872,1484,1000
1875,1484,1000
1877,1485,1000
1880,1485,1000
1883,1486,1000
1886,1486,1000
1889,1487,1000
1883,1487,1000
1878,1487,1000
1873,1488,1000
1867,1488,1000
1862,1489,1000
1857,1489,1000
1851,1490,1000
1846,1490,1000
1841,1491,1000
1836,1491,1000
1831,1492,1000
1825,1492,1000
1820,1493,1000
1815,1493,1000
1810,1494,1000
1805,1494,1000
1800,1495,1000
1794,1496,1000
1789,1497,1000
1784,1498,1000
1779,1499,1000
1774,1500,1000
